央视,#genre#
CETV-2,http://223.110.241.150:6610/gitv/live1/G_CETV-2/G_CETV-2/
CETV-3,http://223.110.241.150:6610/gitv/live1/G_CETV-3/G_CETV-3/
CETV-4,http://223.110.241.150:6610/gitv/live1/G_CETV-4/G_CETV-4/
CGTN,http://223.110.241.150:6610/gitv/live1/G_CCTV-NEWS/G_CCTV-NEWS/#http://112.17.40.145/PLTV/88888888/224/3221226235/index.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226314/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226235/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226314/index.m3u8
BESTV4K,http://112.17.40.145/PLTV/88888888/224/3221226718/index.m3u8
卫视,#genre#
凤凰资讯,http://yuniptvun100.chinayungu.cn:65530/live/fhzx/index.m3u8#http://yuniptvunql.chinayungu.cn:65530/live/fhzx/index.m3u8#http://220.201.218.82:65530/live/fhzx/index.m3u8#http://221.179.217.9/PLTV/88888888/224/3221225949/1.m3u8#http://111.13.42.9/PLTV/88888888/224/3221225949/1.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226491/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226491/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226491/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226491/index.m3u8
凤凰中文,http://yuniptvun100.chinayungu.cn:65530/live/fhzw/index.m3u8#http://yuniptvunql.chinayungu.cn:65530/live/fhzw/index.m3u8#http://220.201.218.82:65530/live/fhzw/index.m3u8#http://221.179.217.9/PLTV/88888888/224/3221225948/1.m3u8#http://221.179.217.69/PLTV/88888888/224/3221225942/1.m3u8#http://221.179.217.70/PLTV/88888888/224/3221225942/1.m3u8#http://221.179.217.75/PLTV/88888888/224/3221225942/1.m3u8#http://111.13.42.9/PLTV/88888888/224/3221225948/1.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226368/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226368/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226368/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226368/index.m3u8
湖南卫视,http://223.110.241.150:6610/gitv/live1/G_HUNAN-CQ/G_HUNAN-CQ/#http://223.110.241.150:6610/gitv/live1/G_HUNAN/G_HUNAN/#http://112.17.40.145/PLTV/88888888/224/3221226569/index.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226553/index.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226144/index.m3u8#http://39.135.33.165/PLTV/88888888/224/3221226252/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226162/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226569/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225704/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225745/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225817/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225818/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226162/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226553/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226162/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226553/index.m3u8
浙江卫视,http://223.110.241.150:6610/gitv/live1/G_ZHEJIANG-CQ/G_ZHEJIANG-CQ/#http://223.110.241.150:6610/gitv/live1/G_ZHEJIANG/G_ZHEJIANG/#http://112.17.40.145/PLTV/88888888/224/3221226551/index.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226136/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226136/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226551/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226474/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225703/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225744/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225857/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225858/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226136/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226551/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226136/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226551/index.m3u8
江苏卫视,http://223.110.241.150:6610/gitv/live1/G_JIANGSU-CQ/G_JIANGSU-CQ/#http://223.110.241.150:6610/gitv/live1/JSWS-HD/JSWS-HD/#http://112.17.40.145/PLTV/88888888/224/3221226140/index.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226567/index.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226414/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226140/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226414/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226567/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225702/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225743/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225856/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225855/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226140/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226414/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226140/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226414/index.m3u8
东方卫视,http://223.110.241.150:6610/gitv/live1/G_DONGFANG-CQ/G_DONGFANG-CQ/#http://223.110.241.150:6610/gitv/live1/G_DONGFANG/G_DONGFANG/#http://112.17.40.145/PLTV/88888888/224/3221226142/index.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226581/index.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226549/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226142/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226549/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226581/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225658/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225659/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225853/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225854/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226142/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226549/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226581/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226142/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226549/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226581/index.m3u8
北京卫视,http://223.110.241.150:6610/gitv/live1/G_BEIJING-CQ/G_BEIJING-CQ/#http://223.110.241.150:6610/gitv/live1/G_BEIJING/G_BEIJING/#http://112.17.40.145/PLTV/88888888/224/3221226164/index.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226545/index.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226583/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226164/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226545/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226583/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225840/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225839/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226164/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226545/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226164/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226545/index.m3u8
安徽卫视,http://223.110.241.150:6610/gitv/live1/G_ANHUI-CQ/G_ANHUI-CQ/#http://223.110.241.150:6610/gitv/live1/AHWS/AHWS/#http://112.17.40.145/PLTV/88888888/224/3221226185/index.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226490/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226185/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226490/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225691/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225737/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225816/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225815/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226185/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226490/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226185/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226490/index.m3u8
广东卫视,http://223.110.241.150:6610/gitv/live1/G_GUANGDONG-CQ/G_GUANGDONG-CQ/#http://223.110.241.150:6610/gitv/live1/G_GUANGDONG/G_GUANGDONG/#http://112.17.40.145/PLTV/88888888/224/3221226225/index.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226585/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226225/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226408/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226585/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225701/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225742/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225825/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225826/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226225/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226408/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226225/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226408/index.m3u8
重庆卫视,http://223.110.241.150:6610/gitv/live1/G_CHONGQING/G_CHONGQING/#http://112.17.40.145/PLTV/88888888/224/3221226217/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226217/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225692/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225734/index.m3u8
四川卫视,http://223.110.241.150:6610/gitv/live1/SCWS/SCWS/#http://112.17.40.145/PLTV/88888888/224/3221226215/index.m3u8
